"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","FREQUENCY","SCALE","DECIMALS_DISPLAYED","FUNCTIONAL_CAT","INT_ACC_ITEM","NA_STO","GFS_STO","COICOP_1999","TRADE_FLOW","COMMODITY","SOC_CONCEPTS","SECTOR","ACCOUNTING_ENTRY","INDEX_TYPE","PRICES","STATISTICAL_MEASURES","EXRATE","TRANSFORMATION","UNIT","REPORTING_PERIOD_TYPE","OVERLAP","COUNTRY_UPDATE_DATE","DOI","FULL_DESCRIPTION","AUTHOR","PUBLISHER","DEPARTMENT","CONTACT_POINT","TOPIC","TOPIC_DATASET","KEYWORDS","KEYWORDS_DATASET","LANGUAGE","PUBLICATION_DATE","UPDATE_DATE","METHODOLOGY","METHODOLOGY_NOTES","ACCESS_SHARING_LEVEL","ACCESS_SHARING_NOTES","SECURITY_CLASSIFICATION","SHORT_SOURCE_CITATION","FULL_SOURCE_CITATION","LICENSE","SUGGESTED_CITATION","KEY_INDICATOR","SERIES_NAME","LATEST_ACTUAL_ANNUAL_DATA","HISTORICAL_DATA_SOURCE","BASE_YEAR","START_END_MONTHS_OF_REPORTING_YEAR","CHAIN_WEIGHTED","BASIS_OF_PROJECTIONS","VALUATION","PRICES_SECTOR_HARMONIZED_PRICES","LABOR_SECTOR_EMPLOYMENT_TYPE","FISCAL_SECTOR_GENERAL_GOVERNMENT_COMPOSITION","FISCAL_SECTOR_VALUATION_OF_DEBT","FISCAL_SECTOR_INSTRUMENTS_INCLUDED_IN_GROSS_AND_NET_DEBT","TRADE_SECTOR_OIL_COVERAGE","PRIMARY_DOMESTIC_CURRENCY","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030"
"IMF.RES:WEO(9.0.0)","G110.PPPGDP.A","OBS_VALUE","Advanced Economies","Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021","Annual","Billions","Three","","","Gross domestic product (GDP)","","","","","","","","","Current prices","","","","","","Overlapping Indicator","","","The World Economic Outlook (WEO) database contains selected macroeconomic data series from the statistical appendix of the World Economic Outlook report, which presents the IMF staff's analysis and projections of economic developments at the global level, in major country groups and in many individual countries. The WEO is released in April and September/October each year. Use this database to find data on national accounts, gross domestic product (GDP), inflation, unemployment rates, balance of payments, fiscal indicators, trade for countries and country groups (aggregates), and commodity prices whose data are reported by the IMF. Data are available from 1980 to the present, and projections are given for the next two years. Additionally, medium-term projections are available for selected indicators. For some countries, data are incomplete or unavailable for certain years.","","International Monetary Fund (IMF)","Research Department (RES)","datahelp@imf.org","Gross domestic product (GDP)","Economic forecasting; Balance of payments; International investment position (IIP); External debt; Fiscal sector; National accounts; Gross domestic product (GDP); International trade; World Economic Outlook (WEO)","","Demographics;  Real sector;  Price indexes;  Gross domestic product;  National accounts;  Labor markets;  Unemployment;  International trade;  Export prices;  Import prices;  International reserves;  Monetary aggregates;  Consumer prices;  Exchange rates;  External position;  Financial account;  Balance of payments;  Capital account;  Current account;  External debt;  International investment position;  Public sector and general government;  Debt service;  Fiscal account","English","2025-10-14T13:00:00Z","2025-11-19T21:00:00Z","","","Public (Unrestricted)","","Public or Unrestricted","IMF staff calculations.","","© International Monetary Fund Copyright. All Rights Reserved. https://www.imf.org/external/terms.htm","International Monetary Fund. World Economic Outlook (WEO), https://data.imf.org/en/datasets/IMF.RES:WEO. Accessed on [current date].","true","Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021","","","","","","","","","","","","","","","8534.308","9552.433","10161.559","10890.596","11820.322","12641.709","13316.184","14157.485","15349.145","16583.975","17722.634","18606.209","19533.260","20297.616","21424.337","22699.991","23817.276","25078.400","26061.160","27375.476","29160.303","30299.328","31266.280","32522.761","34475.564","36557.535","38840.460","40982.430","41897.205","40720.526","42475.690","44102.289","45424.092","46877.326","48691.563","50297.022","51699.417","53986.202","56430.774","59284.832","58510.130","64683.363","71329.342","75208.557","78470.229","81660.961","84483.945","87380.051","90316.654","93361.762","96554.785"
"IMF.RES:WEO(9.0.0)","G119.PPPGDP.A","OBS_VALUE","G7","Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021","Annual","Billions","Three","","","Gross domestic product (GDP)","","","","","","","","","Current prices","","","","","","Overlapping Indicator","","","The World Economic Outlook (WEO) database contains selected macroeconomic data series from the statistical appendix of the World Economic Outlook report, which presents the IMF staff's analysis and projections of economic developments at the global level, in major country groups and in many individual countries. The WEO is released in April and September/October each year. Use this database to find data on national accounts, gross domestic product (GDP), inflation, unemployment rates, balance of payments, fiscal indicators, trade for countries and country groups (aggregates), and commodity prices whose data are reported by the IMF. Data are available from 1980 to the present, and projections are given for the next two years. Additionally, medium-term projections are available for selected indicators. For some countries, data are incomplete or unavailable for certain years.","","International Monetary Fund (IMF)","Research Department (RES)","datahelp@imf.org","Gross domestic product (GDP)","Economic forecasting; Balance of payments; International investment position (IIP); External debt; Fiscal sector; National accounts; Gross domestic product (GDP); International trade; World Economic Outlook (WEO)","","Demographics;  Real sector;  Price indexes;  Gross domestic product;  National accounts;  Labor markets;  Unemployment;  International trade;  Export prices;  Import prices;  International reserves;  Monetary aggregates;  Consumer prices;  Exchange rates;  External position;  Financial account;  Balance of payments;  Capital account;  Current account;  External debt;  International investment position;  Public sector and general government;  Debt service;  Fiscal account","English","2025-10-14T13:00:00Z","2025-11-19T21:00:00Z","","","Public (Unrestricted)","","Public or Unrestricted","IMF staff calculations.","","© International Monetary Fund Copyright. All Rights Reserved. https://www.imf.org/external/terms.htm","International Monetary Fund. World Economic Outlook (WEO), https://data.imf.org/en/datasets/IMF.RES:WEO. Accessed on [current date].","true","Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021","","","","","","","","","","","","","","","6842.695","7665.604","8131.096","8729.065","9490.103","10158.460","10681.723","11327.310","12274.358","13240.715","14115.124","14769.928","15427.420","15968.946","16804.924","17587.283","18406.648","19326.930","20102.074","21035.083","22330.437","23121.350","23745.153","24661.693","26052.099","27555.014","29142.218","30552.314","31123.887","30145.794","31390.060","32563.193","33608.013","34702.630","35998.533","37121.647","38064.151","39661.715","41377.056","43340.685","42667.049","46909.009","51589.948","54465.067","56751.118","58959.130","60947.715","62978.128","65030.757","67146.405","69343.946"
"IMF.RES:WEO(9.0.0)","GBR.PPPGDP.A","OBS_VALUE","United Kingdom","Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021","Annual","Billions","Three","","","Gross domestic product (GDP)","","","","","","","","","Current prices","","","","","","Overlapping Indicator","9/13/2025","","The World Economic Outlook (WEO) database contains selected macroeconomic data series from the statistical appendix of the World Economic Outlook report, which presents the IMF staff's analysis and projections of economic developments at the global level, in major country groups and in many individual countries. The WEO is released in April and September/October each year. Use this database to find data on national accounts, gross domestic product (GDP), inflation, unemployment rates, balance of payments, fiscal indicators, trade for countries and country groups (aggregates), and commodity prices whose data are reported by the IMF. Data are available from 1980 to the present, and projections are given for the next two years. Additionally, medium-term projections are available for selected indicators. For some countries, data are incomplete or unavailable for certain years.","","International Monetary Fund (IMF)","Research Department (RES)","datahelp@imf.org","Gross domestic product (GDP)","Economic forecasting; Balance of payments; International investment position (IIP); External debt; Fiscal sector; National accounts; Gross domestic product (GDP); International trade; World Economic Outlook (WEO)","","Demographics;  Real sector;  Price indexes;  Gross domestic product;  National accounts;  Labor markets;  Unemployment;  International trade;  Export prices;  Import prices;  International reserves;  Monetary aggregates;  Consumer prices;  Exchange rates;  External position;  Financial account;  Balance of payments;  Capital account;  Current account;  External debt;  International investment position;  Public sector and general government;  Debt service;  Fiscal account","English","2025-10-14T13:00:00Z","2025-11-19T21:00:00Z","","","Public (Unrestricted)","","Public or Unrestricted","IMF staff calculations.","","© International Monetary Fund Copyright. All Rights Reserved. https://www.imf.org/external/terms.htm","International Monetary Fund. World Economic Outlook (WEO), https://data.imf.org/en/datasets/IMF.RES:WEO. Accessed on [current date].","true","Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021","","","","","","","","","","","","","","","528.578","574.610","622.107","673.400","713.197","765.821","805.518","870.223","949.349","1010.277","1053.961","1074.304","1101.484","1153.067","1217.843","1273.046","1329.826","1419.376","1484.169","1551.203","1655.214","1736.027","1794.663","1887.785","1986.193","2104.454","2220.998","2341.049","2380.211","2284.233","2363.630","2439.859","2522.790","2611.909","2742.296","2829.270","2911.041","3041.892","3129.648","3335.878","3219.069","3543.829","3979.566","4143.198","4292.790","4454.716","4592.101","4741.034","4887.344","5044.159","5212.910"
"IMF.RES:WEO(9.0.0)","USA.PPPGDP.A","OBS_VALUE","United States","Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021","Annual","Billions","Three","","","Gross domestic product (GDP)","","","","","","","","","Current prices","","","","","","Overlapping Indicator","9/30/2025","","The World Economic Outlook (WEO) database contains selected macroeconomic data series from the statistical appendix of the World Economic Outlook report, which presents the IMF staff's analysis and projections of economic developments at the global level, in major country groups and in many individual countries. The WEO is released in April and September/October each year. Use this database to find data on national accounts, gross domestic product (GDP), inflation, unemployment rates, balance of payments, fiscal indicators, trade for countries and country groups (aggregates), and commodity prices whose data are reported by the IMF. Data are available from 1980 to the present, and projections are given for the next two years. Additionally, medium-term projections are available for selected indicators. For some countries, data are incomplete or unavailable for certain years.","","International Monetary Fund (IMF)","Research Department (RES)","datahelp@imf.org","Gross domestic product (GDP)","Economic forecasting; Balance of payments; International investment position (IIP); External debt; Fiscal sector; National accounts; Gross domestic product (GDP); International trade; World Economic Outlook (WEO)","","Demographics;  Real sector;  Price indexes;  Gross domestic product;  National accounts;  Labor markets;  Unemployment;  International trade;  Export prices;  Import prices;  International reserves;  Monetary aggregates;  Consumer prices;  Exchange rates;  External position;  Financial account;  Balance of payments;  Capital account;  Current account;  External debt;  International investment position;  Public sector and general government;  Debt service;  Fiscal account","English","2025-10-14T13:00:00Z","2025-11-19T21:00:00Z","","","Public (Unrestricted)","","Public or Unrestricted","IMF staff calculations.","","© International Monetary Fund Copyright. All Rights Reserved. https://www.imf.org/external/terms.htm","International Monetary Fund. World Economic Outlook (WEO), https://data.imf.org/en/datasets/IMF.RES:WEO. Accessed on [current date].","true","Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021","","","","","","","","","","","","","","","2857.325","3207.025","3343.800","3634.025","4037.650","4339.000","4579.625","4855.250","5236.425","5641.600","5963.125","6158.125","6520.325","6858.550","7287.250","7639.750","8073.125","8577.550","9062.825","9631.175","10250.950","10581.925","10929.100","11456.450","12217.175","13039.200","13815.600","14474.250","14769.850","14478.050","15048.975","15599.725","16253.950","16880.675","17608.125","18295.000","18804.900","19612.100","20656.525","21539.975","21375.275","23725.650","26054.600","27811.500","29298.025","30615.743","31821.293","33019.978","34258.401","35513.831","36814.251"
"IMF.RES:WEO(9.0.0)","FRA.PPPGDP.A","OBS_VALUE","France","Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021","Annual","Billions","Three","","","Gross domestic product (GDP)","","","","","","","","","Current prices","","","","","","Overlapping Indicator","9/30/2025","","The World Economic Outlook (WEO) database contains selected macroeconomic data series from the statistical appendix of the World Economic Outlook report, which presents the IMF staff's analysis and projections of economic developments at the global level, in major country groups and in many individual countries. The WEO is released in April and September/October each year. Use this database to find data on national accounts, gross domestic product (GDP), inflation, unemployment rates, balance of payments, fiscal indicators, trade for countries and country groups (aggregates), and commodity prices whose data are reported by the IMF. Data are available from 1980 to the present, and projections are given for the next two years. Additionally, medium-term projections are available for selected indicators. For some countries, data are incomplete or unavailable for certain years.","","International Monetary Fund (IMF)","Research Department (RES)","datahelp@imf.org","Gross domestic product (GDP)","Economic forecasting; Balance of payments; International investment position (IIP); External debt; Fiscal sector; National accounts; Gross domestic product (GDP); International trade; World Economic Outlook (WEO)","","Demographics;  Real sector;  Price indexes;  Gross domestic product;  National accounts;  Labor markets;  Unemployment;  International trade;  Export prices;  Import prices;  International reserves;  Monetary aggregates;  Consumer prices;  Exchange rates;  External position;  Financial account;  Balance of payments;  Capital account;  Current account;  External debt;  International investment position;  Public sector and general government;  Debt service;  Fiscal account","English","2025-10-14T13:00:00Z","2025-11-19T21:00:00Z","","","Public (Unrestricted)","","Public or Unrestricted","IMF staff calculations.","","© International Monetary Fund Copyright. All Rights Reserved. https://www.imf.org/external/terms.htm","International Monetary Fund. World Economic Outlook (WEO), https://data.imf.org/en/datasets/IMF.RES:WEO. Accessed on [current date].","true","Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021","","","","","","","","","","","","","","","592.732","656.509","713.833","751.151","791.283","829.936","866.333","910.594","986.732","1072.439","1143.643","1197.601","1242.143","1266.172","1324.283","1385.270","1429.630","1490.859","1559.871","1633.527","1743.470","1815.579","1864.493","1920.139","2021.538","2126.307","2256.106","2374.810","2426.908","2375.196","2448.257","2560.839","2614.508","2683.614","2757.684","2811.042","2858.602","2975.790","3114.876","3445.275","3345.026","3656.802","4026.598","4243.198","4396.474","4533.633","4657.190","4791.414","4931.095","5079.830","5237.776"
"IMF.RES:WEO(9.0.0)","AUT.PPPGDP.A","OBS_VALUE","Austria","Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021","Annual","Billions","Three","","","Gross domestic product (GDP)","","","","","","","","","Current prices","","","","","","Overlapping Indicator","9/18/2025","","The World Economic Outlook (WEO) database contains selected macroeconomic data series from the statistical appendix of the World Economic Outlook report, which presents the IMF staff's analysis and projections of economic developments at the global level, in major country groups and in many individual countries. The WEO is released in April and September/October each year. Use this database to find data on national accounts, gross domestic product (GDP), inflation, unemployment rates, balance of payments, fiscal indicators, trade for countries and country groups (aggregates), and commodity prices whose data are reported by the IMF. Data are available from 1980 to the present, and projections are given for the next two years. Additionally, medium-term projections are available for selected indicators. For some countries, data are incomplete or unavailable for certain years.","","International Monetary Fund (IMF)","Research Department (RES)","datahelp@imf.org","Gross domestic product (GDP)","Economic forecasting; Balance of payments; International investment position (IIP); External debt; Fiscal sector; National accounts; Gross domestic product (GDP); International trade; World Economic Outlook (WEO)","","Demographics;  Real sector;  Price indexes;  Gross domestic product;  National accounts;  Labor markets;  Unemployment;  International trade;  Export prices;  Import prices;  International reserves;  Monetary aggregates;  Consumer prices;  Exchange rates;  External position;  Financial account;  Balance of payments;  Capital account;  Current account;  External debt;  International investment position;  Public sector and general government;  Debt service;  Fiscal account","English","2025-10-14T13:00:00Z","2025-11-19T21:00:00Z","","","Public (Unrestricted)","","Public or Unrestricted","IMF staff calculations.","","© International Monetary Fund Copyright. All Rights Reserved. https://www.imf.org/external/terms.htm","International Monetary Fund. World Economic Outlook (WEO), https://data.imf.org/en/datasets/IMF.RES:WEO. Accessed on [current date].","true","Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021","","","","","","","","","","","","","","","91.960","100.560","108.811","116.243","120.838","127.456","133.065","138.654","144.923","156.460","169.369","181.124","189.130","194.633","203.564","213.377","222.495","231.188","241.952","254.607","268.679","278.347","286.868","295.871","311.621","328.850","350.074","373.133","385.848","374.305","385.707","405.190","415.327","421.337","431.916","441.606","455.241","473.924","500.696","535.947","521.842","569.376","642.061","659.459","669.148","687.271","704.969","727.972","749.452","770.134","790.338"
"IMF.RES:WEO(9.0.0)","GX123.PPPGDP.A","OBS_VALUE","Other Advanced Economies (Advanced Economies excluding G7 and Euro Area countries)","Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021","Annual","Billions","Three","","","Gross domestic product (GDP)","","","","","","","","","Current prices","","","","","","Overlapping Indicator","","","The World Economic Outlook (WEO) database contains selected macroeconomic data series from the statistical appendix of the World Economic Outlook report, which presents the IMF staff's analysis and projections of economic developments at the global level, in major country groups and in many individual countries. The WEO is released in April and September/October each year. Use this database to find data on national accounts, gross domestic product (GDP), inflation, unemployment rates, balance of payments, fiscal indicators, trade for countries and country groups (aggregates), and commodity prices whose data are reported by the IMF. Data are available from 1980 to the present, and projections are given for the next two years. Additionally, medium-term projections are available for selected indicators. For some countries, data are incomplete or unavailable for certain years.","","International Monetary Fund (IMF)","Research Department (RES)","datahelp@imf.org","Gross domestic product (GDP)","Economic forecasting; Balance of payments; International investment position (IIP); External debt; Fiscal sector; National accounts; Gross domestic product (GDP); International trade; World Economic Outlook (WEO)","","Demographics;  Real sector;  Price indexes;  Gross domestic product;  National accounts;  Labor markets;  Unemployment;  International trade;  Export prices;  Import prices;  International reserves;  Monetary aggregates;  Consumer prices;  Exchange rates;  External position;  Financial account;  Balance of payments;  Capital account;  Current account;  External debt;  International investment position;  Public sector and general government;  Debt service;  Fiscal account","English","2025-10-14T13:00:00Z","2025-11-19T21:00:00Z","","","Public (Unrestricted)","","Public or Unrestricted","IMF staff calculations.","","© International Monetary Fund Copyright. All Rights Reserved. https://www.imf.org/external/terms.htm","International Monetary Fund. World Economic Outlook (WEO), https://data.imf.org/en/datasets/IMF.RES:WEO. Accessed on [current date].","true","Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021","","","","","","","","","","","","","","","758.365","865.534","938.243","1011.354","1115.710","1200.708","1290.567","1405.825","1532.982","1665.383","1800.947","1927.521","2047.022","2180.637","2363.317","2700.854","2882.330","3067.193","3128.010","3345.999","3627.437","3803.875","4012.257","4201.724","4537.034","4872.837","5264.538","5684.120","5897.882","5880.382","6297.975","6645.831","6919.798","7218.617","7561.256","7804.950","8090.086","8498.156","8938.053","9346.643","9468.120","10641.368","11701.843","12332.152","12929.290","13477.235","13993.249","14530.923","15086.439","15669.345","16296.795"
"IMF.RES:WEO(9.0.0)","BEL.PPPGDP.A","OBS_VALUE","Belgium","Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021","Annual","Billions","Three","","","Gross domestic product (GDP)","","","","","","","","","Current prices","","","","","","Overlapping Indicator","9/11/2025","","The World Economic Outlook (WEO) database contains selected macroeconomic data series from the statistical appendix of the World Economic Outlook report, which presents the IMF staff's analysis and projections of economic developments at the global level, in major country groups and in many individual countries. The WEO is released in April and September/October each year. Use this database to find data on national accounts, gross domestic product (GDP), inflation, unemployment rates, balance of payments, fiscal indicators, trade for countries and country groups (aggregates), and commodity prices whose data are reported by the IMF. Data are available from 1980 to the present, and projections are given for the next two years. Additionally, medium-term projections are available for selected indicators. For some countries, data are incomplete or unavailable for certain years.","","International Monetary Fund (IMF)","Research Department (RES)","datahelp@imf.org","Gross domestic product (GDP)","Economic forecasting; Balance of payments; International investment position (IIP); External debt; Fiscal sector; National accounts; Gross domestic product (GDP); International trade; World Economic Outlook (WEO)","","Demographics;  Real sector;  Price indexes;  Gross domestic product;  National accounts;  Labor markets;  Unemployment;  International trade;  Export prices;  Import prices;  International reserves;  Monetary aggregates;  Consumer prices;  Exchange rates;  External position;  Financial account;  Balance of payments;  Capital account;  Current account;  External debt;  International investment position;  Public sector and general government;  Debt service;  Fiscal account","English","2025-10-14T13:00:00Z","2025-11-19T21:00:00Z","","","Public (Unrestricted)","","Public or Unrestricted","IMF staff calculations.","","© International Monetary Fund Copyright. All Rights Reserved. https://www.imf.org/external/terms.htm","International Monetary Fund. World Economic Outlook (WEO), https://data.imf.org/en/datasets/IMF.RES:WEO. Accessed on [current date].","true","Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021","","","","","","","","","","","","","","","114.990","125.518","134.067","139.752","148.367","155.587","161.613","169.438","183.698","197.524","211.346","222.499","231.053","234.254","246.977","258.168","266.369","281.241","289.982","304.504","322.975","333.880","344.855","355.313","377.898","398.797","421.588","448.932","459.625","453.643","471.601","490.625","500.840","510.921","528.998","541.776","553.451","571.671","599.541","651.570","647.546","716.918","800.618","840.216","869.850","900.497","925.665","953.064","980.123","1009.895","1042.142"
"IMF.RES:WEO(9.0.0)","DNK.PPPGDP.A","OBS_VALUE","Denmark","Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021","Annual","Billions","Three","","","Gross domestic product (GDP)","","","","","","","","","Current prices","","","","","","Overlapping Indicator","9/24/2025","","The World Economic Outlook (WEO) database contains selected macroeconomic data series from the statistical appendix of the World Economic Outlook report, which presents the IMF staff's analysis and projections of economic developments at the global level, in major country groups and in many individual countries. The WEO is released in April and September/October each year. Use this database to find data on national accounts, gross domestic product (GDP), inflation, unemployment rates, balance of payments, fiscal indicators, trade for countries and country groups (aggregates), and commodity prices whose data are reported by the IMF. Data are available from 1980 to the present, and projections are given for the next two years. Additionally, medium-term projections are available for selected indicators. For some countries, data are incomplete or unavailable for certain years.","","International Monetary Fund (IMF)","Research Department (RES)","datahelp@imf.org","Gross domestic product (GDP)","Economic forecasting; Balance of payments; International investment position (IIP); External debt; Fiscal sector; National accounts; Gross domestic product (GDP); International trade; World Economic Outlook (WEO)","","Demographics;  Real sector;  Price indexes;  Gross domestic product;  National accounts;  Labor markets;  Unemployment;  International trade;  Export prices;  Import prices;  International reserves;  Monetary aggregates;  Consumer prices;  Exchange rates;  External position;  Financial account;  Balance of payments;  Capital account;  Current account;  External debt;  International investment position;  Public sector and general government;  Debt service;  Fiscal account","English","2025-10-14T13:00:00Z","2025-11-19T21:00:00Z","","","Public (Unrestricted)","","Public or Unrestricted","IMF staff calculations.","","© International Monetary Fund Copyright. All Rights Reserved. https://www.imf.org/external/terms.htm","International Monetary Fund. World Economic Outlook (WEO), https://data.imf.org/en/datasets/IMF.RES:WEO. Accessed on [current date].","true","Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021","","","","","","","","","","","","","","","63.654","69.160","76.291","81.379","87.976","94.526","100.996","103.980","107.938","112.951","119.129","124.953","130.387","133.370","143.427","150.884","158.102","165.921","171.685","179.287","190.169","196.306","200.262","205.117","216.484","228.535","244.581","253.686","257.494","246.185","253.125","261.739","266.599","274.914","283.277","291.914","303.751","318.640","331.591","352.325","365.525","409.688","440.775","459.857","487.667","508.718","529.281","546.985","564.428","583.156","603.244"
"IMF.RES:WEO(9.0.0)","DEU.PPPGDP.A","OBS_VALUE","Germany","Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021","Annual","Billions","Three","","","Gross domestic product (GDP)","","","","","","","","","Current prices","","","","","","Overlapping Indicator","9/23/2025","","The World Economic Outlook (WEO) database contains selected macroeconomic data series from the statistical appendix of the World Economic Outlook report, which presents the IMF staff's analysis and projections of economic developments at the global level, in major country groups and in many individual countries. The WEO is released in April and September/October each year. Use this database to find data on national accounts, gross domestic product (GDP), inflation, unemployment rates, balance of payments, fiscal indicators, trade for countries and country groups (aggregates), and commodity prices whose data are reported by the IMF. Data are available from 1980 to the present, and projections are given for the next two years. Additionally, medium-term projections are available for selected indicators. For some countries, data are incomplete or unavailable for certain years.","","International Monetary Fund (IMF)","Research Department (RES)","datahelp@imf.org","Gross domestic product (GDP)","Economic forecasting; Balance of payments; International investment position (IIP); External debt; Fiscal sector; National accounts; Gross domestic product (GDP); International trade; World Economic Outlook (WEO)","","Demographics;  Real sector;  Price indexes;  Gross domestic product;  National accounts;  Labor markets;  Unemployment;  International trade;  Export prices;  Import prices;  International reserves;  Monetary aggregates;  Consumer prices;  Exchange rates;  External position;  Financial account;  Balance of payments;  Capital account;  Current account;  External debt;  International investment position;  Public sector and general government;  Debt service;  Fiscal account","English","2025-10-14T13:00:00Z","2025-11-19T21:00:00Z","","","Public (Unrestricted)","","Public or Unrestricted","IMF staff calculations.","","© International Monetary Fund Copyright. All Rights Reserved. https://www.imf.org/external/terms.htm","International Monetary Fund. World Economic Outlook (WEO), https://data.imf.org/en/datasets/IMF.RES:WEO. Accessed on [current date].","true","Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021","","","","","","","","","","","","","","","922.849","1011.276","1065.304","1124.230","1197.725","1262.687","1319.247","1371.803","1473.234","1590.913","1744.915","1894.337","1976.586","2003.610","2099.541","2175.964","2238.653","2319.480","2394.856","2480.399","2609.614","2712.124","2747.819","2787.215","2895.514","3012.853","3225.545","3408.747","3505.278","3331.140","3511.345","3718.462","3805.350","3885.387","4039.125","4144.409","4276.557","4475.279","4669.306","4928.323","4881.924","5245.574","5720.184","5880.111","5996.196","6153.741","6323.531","6524.275","6710.004","6894.407","7071.436"
